nodeno;cou;sta;dena;z6;share_L;share_h;ror;pv;on;off;bio;geo;Lat;Long;Lat, Long war in ELMOD-DE vertauscht;dena
n098;DE;DE_BB;dena81;DE_NE;0.003;0.003;0;48;46;0;55;0;52.231;13.304;0;81
n099;NL;NL;dena97;NL;0;0;0;0;0;0;0;0;52.204;6.918;0;97
n100;DE;DE_NRW;dena71;DE_NW;0.002;0.001;0;240;281;0;32;0;52.203;7.034;0;71
n101;DE;DE_NI;dena23;DE_NW;0.003;0.003;6;107;810;0;25;0;52.2;10.999;0;23
n102;DE;DE_NRW;dena71;DE_NW;0;0;0;0;0;0;0;0;52.198;7.371;0;71
n103;DE;DE_NRW;dena23;DE_NW;0.002;0.002;1;48;56;0;10;0;52.193;8.932;0;23
n104;DE;DE_NI;dena23;DE_NW;0;0;0;0;0;0;0;0;52.176;10.355;0;23
n105;DE;DE_BB;dena84;DE_EA;0.001;0.001;0;69;174;0;20;0;52.174;14.604;0;84
n106;DE;DE_NI;dena23;DE_NW;0.002;0.003;5;46;163;0;12;0;52.167;10.369;0;23
n107;DE;DE_ST;dena81;DE_NE;0.003;0.003;0;41;114;0;16;0;52.124;11.562;0;81
n108;DE;DE_NRW;dena73;DE_WE;0.004;0.003;0;75;31;0;13;0;52.105;8.571;0;73
n109;DE;DE_NRW;dena73;DE_WE;0.003;0.003;0;50;19;0;14;0;52.066;8.319;0;73
n110;DE;DE_NI;dena23;DE_NW;0.002;0.003;3;43;84;0;33;0;52.026;9.39;0;23
n111;DE;DE_NI;dena23;DE_NW;0.002;0.003;2;24;19;0;32;0;52.001;9.797;0;23
n112;DE;DE_NRW;dena73;DE_WE;0.003;0.002;0;11;5;0;4;0;52;8.659;0;73
n113;DE;DE_NRW;dena73;DE_WE;0.003;0.003;0;32;7;0;4;0;51.994;8.629;0;73
n114;DE;DE_NRW;dena73;DE_WE;0.003;0.002;0;47;44;0;30;0;51.983;8.814;0;73
n115;DE;DE_NRW;dena73;DE_WE;0.003;0.002;0;117;149;0;25;0;51.97;7.546;0;73
n116;DE;DE_NRW;dena73;DE_WE;0.006;0.005;0;118;24;0;39;0;51.927;8.364;0;73
n117;DE;DE_ST;dena81;DE_NE;0.003;0.003;5;94;535;0;24;0;51.909;11.644;0;81
n118;DE;DE_NRW;dena73;DE_WE;0.003;0.003;0;64;36;0;9;0;51.898;7.607;0;73
n119;DE;DE_NI;dena23;DE_NW;0.002;0.003;2;41;70;0;12;0;51.897;9.924;0;23
n120;DE;DE_BB;dena84;DE_EA;0.002;0.002;1;175;238;0;38;0;51.889;14.428;0;84
n121;DE;DE_BB;dena84;DE_EA;0.003;0.003;0;455;600;0;25;0;51.874;13.903;0;84
n122;DE;DE_BB;dena84;DE_EA;0.002;0.002;0;182;670;0;35;0;51.828;13.157;0;84
n123;DE;DE_NRW;dena73;DE_WE;0.004;0.003;0;108;143;0;15;0;51.823;7.994;0;73
n124;DE;DE_NRW;dena24;DE_WE;0.002;0.002;1;106;124;0;13;0;51.813;9.228;0;24
n125;DE;DE_NRW;dena73;DE_WE;0;0;0;0;0;0;0;0;51.754;7.832;0;73
n126;DE;DE_ST;dena83;DE_EA;0.003;0.003;3;313;403;0;37;0;51.741;12.262;0;83
n127;DE;DE_NRW;dena73;DE_WE;0.003;0.003;0;101;35;0;12;0;51.736;8.703;0;73
n128;DE;DE_NRW;dena73;DE_WE;0.003;0.002;0;69;220;0;5;0;51.7;8.741;0;73
n129;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;106;62;0;20;0;51.697;7.061;0;72
n130;DE;DE_NRW;dena72;DE_WE;0.001;0.001;0;178;82;0;23;0;51.695;6.222;0;72
n131;DE;DE_NRW;dena73;DE_WE;0.002;0.002;0;40;43;0;9;0;51.684;7.992;0;73
n132;DE;DE_NRW;dena73;DE_WE;0;0;0;0;0;0;0;0;51.677;7.982;0;73
n133;DE;DE_NRW;dena73;DE_WE;0.003;0.002;1;58;11;0;45;0;51.676;7.709;0;73
n134;DE;DE_NRW;dena73;DE_WE;0.002;0.002;9;42;115;0;8;0;51.673;7.983;0;73
n135;DE;DE_NRW;dena73;DE_WE;0.002;0.002;0;39;67;0;8;0;51.673;7.931;0;73
n136;DE;DE_NI;dena23;DE_NW;0.002;0.002;2;48;8;0;8;0;51.649;9.851;0;23
n137;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;154;86;0;34;0;51.646;6.68;0;72
n138;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;29;5;0;3;0;51.645;7.403;0;72
n139;DE;DE_NRW;dena24;DE_WE;0.001;0.002;3;61;72;0;9;0;51.64;9.388;0;24
n140;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.632;6.953;0;72
n141;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;10;4;0;0;0;51.626;7.024;0;72
n142;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;29;12;0;6;0;51.621;7.324;0;72
n143;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;28;12;0;27;0;51.619;7.445;0;72
n144;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;266;13;0;2;0;51.619;6.614;0;72
n145;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.613;7.344;0;72
n146;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.613;7.344;0;72
n147;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;0;5;0;0;0;51.61;7.031;0;72
n148;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;4;1;0;12;0;51.598;7.038;0;72
n149;DE;DE_ST;dena83;DE_EA;0.003;0.003;2;244;548;0;29;0;51.584;11.516;0;83
n150;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;1;0;0;11;0;51.576;6.683;0;72
n151;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;7;3;0;5;0;51.576;7.353;0;72
n152;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;10;5;0;48;0;51.574;7.264;0;72
n153;DE;DE_NRW;dena72;DE_WE;0.001;0.001;0;24;5;0;9;0;51.565;6.907;0;72
n154;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.561;7.139;0;72
n155;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;40;29;0;5;0;51.556;6.577;0;72
n156;DE;DE_SN;dena84;DE_EA;0.002;0.002;3;256;127;0;9;0;51.554;14.47;0;84
n157;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.554;6.651;0;72
n158;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;12;2;0;8;0;51.548;7.18;0;72
n159;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;10;6;0;4;0;51.535;7.5;0;72
n160;DE;DE_NRW;dena73;DE_WE;0.003;0.002;5;34;34;0;4;0;51.534;7.719;0;73
n161;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;14;0;0;20;0;51.532;7.522;0;72
n162;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;2;0;0;3;0;51.527;6.715;0;72
n163;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;10;0;0;26;0;51.526;7.123;0;72
n164;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;6;0;0;9;0;51.52;6.812;0;72
n165;DE;DE_NI;dena24;DE_WE;0.002;0.003;3;82;44;0;22;0;51.516;9.883;0;24
n166;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;6;2;0;0;0;51.514;6.996;0;72
n167;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;1;0;0;15;0;51.513;6.741;0;72
n168;DE;DE_NRW;dena72;DE_WE;0.002;0.001;0;2;0;0;0;0;51.505;6.787;0;72
n169;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;6;0;0;0;0;51.499;6.927;0;72
n170;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;10;0;0;4;0;51.491;6.967;0;72
n171;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;0;0;0;0;0;51.48;6.723;0;72
n172;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;17;12;0;12;0;51.476;6.617;0;72
n173;DE;DE_NRW;dena72;DE_WE;0.004;0.003;1;5;0;0;0;0;51.473;7.18;0;72
n174;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;7;0;0;8;0;51.472;7.279;0;72
n175;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;1;0;0;0;0;51.46;6.732;0;72
n176;DE;DE_NRW;dena72;DE_WE;0.003;0.002;2;8;5;0;1;0;51.457;7.417;0;72
n177;DE;DE_NRW;dena72;DE_WE;0.004;0.003;3;8;0;0;0;0;51.45;7.127;0;72
n178;DE;DE_NRW;dena72;DE_WE;0.003;0.002;1;7;0;0;0;0;51.446;7.313;0;72
n179;DE;DE_NRW;dena72;DE_WE;0.002;0.002;12;7;0;0;1;0;51.446;6.873;0;72
n180;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;5;0;0;1;0;51.445;6.948;0;72
n181;DE;DE_TH;dena83;DE_EA;0.002;0.002;10;174;214;0;35;0;51.44;10.736;0;83
n182;DE;DE_NRW;dena73;DE_WE;0.002;0.002;7;106;242;0;36;0;51.428;8.625;0;73
n183;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.416;7.135;0;72
n184;DE;DE_SN;dena84;DE_EA;0.002;0.002;1;107;21;0;13;0;51.413;14.51;0;84
n185;DE;DE_NRW;dena72;DE_WE;0.003;0.003;6;5;0;0;2;0;51.411;7.454;0;72
n186;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;3;5;0;1;0;51.411;7.196;0;72
n187;DE;DE_NRW;dena73;DE_WE;0.002;0.002;10;40;20;0;3;0;51.409;7.724;0;73
n188;DE;DE_ST;dena83;DE_EA;0.004;0.004;0;60;283;0;12;0;51.405;11.893;0;83
n189;DE;DE_NRW;dena72;DE_WE;0.003;0.003;12;46;11;0;20;0;51.401;7.506;0;72
n190;DE;DE_ST;dena83;DE_EA;0.004;0.004;6;164;193;0;15;0;51.401;11.947;0;83
n191;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;6;0;0;0;0;51.391;6.721;0;72
n192;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;5;4;0;2;0;51.389;7.168;0;72
n193;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;5;0;0;0;0;51.379;6.657;0;72
n194;DE;DE_NRW;dena72;DE_WE;0.004;0.003;6;5;0;0;3;0;51.374;6.869;0;72
n195;DE;DE_SN;dena84;DE_EA;0.004;0.003;0;236;78;0;62;0;51.371;12.469;0;84
n196;DE;DE_SN;dena84;DE_EA;0.003;0.003;1;174;316;0;43;0;51.356;13.382;0;84
n197;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;3;0;0;0;0;51.356;6.724;0;72
n198;DE;DE_NRW;dena73;DE_WE;0;0;0;0;0;0;0;0;51.345;7.603;0;73
n199;DE;DE_HE;dena24;DE_WE;0.002;0.002;4;110;234;0;15;0;51.343;8.993;0;24
n200;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.341;6.719;0;72
n201;DE;DE_HE;dena24;DE_WE;0.002;0.002;8;86;18;0;15;0;51.325;9.567;0;24
n202;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;5;0;0;0;0;51.325;6.674;0;72
n203;DE;DE_NRW;dena72;DE_WE;0;0;0;0;0;0;0;0;51.322;6.523;0;72
n204;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;56;18;0;6;0;51.299;6.543;0;72
n205;DE;DE_NRW;dena73;DE_WE;0.004;0.003;0;0;0;0;0;0;51.279;7.706;0;73
n206;DE;DE_NRW;dena72;DE_WE;0.005;0.004;0;8;0;0;1;0;51.268;6.809;0;72
n207;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;18;30;0;1;0;51.261;6.626;0;72
n208;DE;DE_HE;dena24;DE_WE;0.002;0.002;2;91;20;0;6;0;51.259;9.514;0;24
n209;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;12;1;0;1;0;51.249;6.998;0;72
n210;DE;DE_NRW;dena72;DE_WE;0.002;0.002;0;129;92;0;24;0;51.243;6.329;0;72
n211;DE;DE_NRW;dena72;DE_WE;0.003;0.002;3;32;18;0;4;0;51.233;7.233;0;72
n212;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;7;0;0;1;0;51.206;6.847;0;72
n213;DE;DE_SN;dena84;DE_EA;0.003;0.003;1;70;158;0;6;0;51.198;12.249;0;84
n214;DE;DE_SN;dena84;DE_EA;0.004;0.004;0;36;63;0;4;0;51.197;12.338;0;84
n215;DE;DE_NRW;dena73;DE_WE;0.003;0.002;23;83;56;0;13;0;51.178;8.211;0;73
n216;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;10;0;0;1;0;51.175;7.008;0;72
n217;DE;DE_NRW;dena72;DE_WE;0.003;0.003;1;16;1;0;1;0;51.172;7.122;0;72
n218;DE;DE_HE;dena24;DE_WE;0.001;0.001;24;59;19;0;6;0;51.167;9.05;0;24
n219;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;7;0;0;4;0;51.163;6.828;0;72
n220;DE;DE_SN;dena84;DE_EA;0.003;0.003;2;121;67;0;15;0;51.156;12.518;0;84
n221;NL;NL;dena97;NL;0;0;0;0;0;0;0;0;51.147;5.918;0;97
n222;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;10;0;0;16;0;51.147;6.773;0;72
n223;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;3;0;0;0;0;51.124;6.802;0;72
n224;DE;DE_SN;dena84;DE_EA;0.002;0.002;2;67;55;0;11;0;51.121;14.219;0;84
n225;PL;PL;dena98;PL;0;0;0;0;0;0;0;0;51.092;15.117;0;98
n226;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;12;12;0;5;0;51.091;6.709;0;72
n227;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;13;0;0;2;0;51.07;6.966;0;72
n228;DE;DE_SN;dena84;DE_EA;0.001;0.001;3;85;191;0;19;0;51.062;14.949;0;84
n229;DE;DE_HE;dena24;DE_WE;0.001;0.001;2;138;180;0;9;0;51.059;9.258;0;24
n230;DE;DE_NRW;dena74;DE_WE;0.003;0.003;0;16;95;0;1;0;51.058;6.576;0;74
n231;DE;DE_NRW;dena74;DE_WE;0.005;0.004;0;6;0;0;0;0;51.038;6.976;0;74
n232;DE;DE_NRW;dena74;DE_WE;0.003;0.003;0;0;0;0;0;0;51.038;6.612;0;74
n233;DE;DE_NRW;dena74;DE_WE;0.004;0.003;0;3;0;0;0;0;51.032;6.936;0;74
n234;DE;DE_NRW;dena74;DE_WE;0.003;0.002;24;28;40;0;2;0;51.011;7.938;0;74
n235;DE;DE_NRW;dena74;DE_WE;0.002;0.001;0;3;12;0;0;0;51.009;6.702;0;74
n236;DE;DE_TH;dena83;DE_EA;0.002;0.003;8;237;228;0;26;0;51.002;10.385;0;83
n237;DE;DE_NRW;dena74;DE_WE;0.006;0.005;0;10;0;0;1;0;50.999;7.023;0;74
n238;DE;DE_TH;dena83;DE_EA;0.002;0.003;1;103;176;0;20;0;50.999;11.123;0;83
n239;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;1;0;0;0;0;50.993;6.668;0;74
n240;DE;DE_SN;dena84;DE_EA;0.004;0.003;8;110;56;0;27;0;50.99;13.841;0;84
n241;DE;DE_NRW;dena74;DE_WE;0.003;0.003;0;9;0;0;3;0;50.984;6.851;0;74
n242;DE;DE_NRW;dena74;DE_WE;0.003;0.002;0;11;4;0;0;0;50.966;6.806;0;74
n243;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;20;30;0;4;0;50.953;6.596;0;74
n244;DE;DE_TH;dena83;DE_EA;0.002;0.003;5;75;144;0;15;0;50.93;11.471;0;83
n245;DE;DE_HE;dena24;DE_WE;0.002;0.003;5;124;53;0;8;0;50.917;9.746;0;24
n246;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;93;142;0;16;0;50.912;6.216;0;74
n247;DE;DE_NRW;dena74;DE_WE;0.006;0.004;0;10;0;0;1;0;50.906;7.047;0;74
n248;DE;DE_NRW;dena74;DE_WE;0.003;0.002;0;14;19;0;1;0;50.881;6.488;0;74
n249;DE;DE_NRW;dena74;DE_WE;0.002;0.002;2;28;84;0;4;0;50.872;6.457;0;74
n250;DE;DE_SN;dena84;DE_EA;0.003;0.003;43;130;221;0;30;0;50.866;13.002;0;84
n251;DE;DE_NRW;dena74;DE_WE;0.004;0.003;0;40;21;0;6;0;50.864;6.843;0;74
n252;DE;DE_SN;dena84;DE_EA;0.003;0.003;9;58;89;0;7;0;50.858;12.813;0;84
n253;DE;DE_NRW;dena74;DE_WE;0;0;0;0;0;0;0;0;50.844;6.929;0;74
n254;DE;DE_RP;dena74;DE_WE;0.002;0.002;0;19;18;0;3;0;50.842;7.985;0;74
